"Date";"Value"
"01/07/2016";14,34
"01/08/2016";13,92
"01/11/2016";13,87
"01/12/2016";13,75
"01/13/2016";14,16
"01/14/2016";13,75
"01/15/2016";13,9
"01/18/2016";13,88
"01/19/2016";14,12
"01/20/2016";14,16
"01/21/2016";14,09
"01/22/2016";14,06
"01/25/2016";14,25
"01/26/2016";14,56
"01/27/2016";14,46
"01/28/2016";14,23
"01/29/2016";14,24
"02/01/2016";14,34
"02/02/2016";14,29
"02/03/2016";14,73
"02/04/2016";14,85
"02/05/2016";14,78
"02/08/2016";15,43
"02/09/2016";15,45
"02/10/2016";15,28
"02/11/2016";15,79
"02/12/2016";15,79
"02/15/2016";15,26
"02/16/2016";15,33
"02/17/2016";15,38
"02/18/2016";15,46
"02/19/2016";15,4
"02/22/2016";15,22
"02/23/2016";15,28
"02/24/2016";15,33
"02/25/2016";15,2
"02/26/2016";14,71
"02/29/2016";14,92
"03/01/2016";14,76
"03/02/2016";15,02
"03/03/2016";15,15
"03/04/2016";15,69
"03/07/2016";15,63
"03/08/2016";15,39
"03/09/2016";15,37
"03/10/2016";15,55
"03/11/2016";15,61
"03/14/2016";15,52
"03/15/2016";15,26
"03/16/2016";15,22
"03/17/2016";16,03
"03/18/2016";15,81
"03/21/2016";15,85
"03/22/2016";15,89
"03/23/2016";15,27
"03/24/2016";15,2
"03/28/2016";15,19
"03/29/2016";15,23
"03/30/2016";15,21
"03/31/2016";15,46
"04/01/2016";15,05
"04/04/2016";14,94
"04/05/2016";15,12
"04/06/2016";15,05
"04/07/2016";15,16
"04/08/2016";15,38
"04/11/2016";15,98
"04/12/2016";16,22
"04/13/2016";16,33
"04/14/2016";16,17
"04/15/2016";16,31
"04/18/2016";16,25
"04/19/2016";16,97
"04/20/2016";17,18
"04/21/2016";17,14
"04/22/2016";16,95
"04/24/2016";16,98
"04/25/2016";17,06
"04/26/2016";17,16
"04/27/2016";17,34
"04/28/2016";17,59
"04/29/2016";17,82
"05/01/2016";17,77
"05/02/2016";17,68
"05/03/2016";17,5
"05/04/2016";17,3
"05/05/2016";17,327
"05/06/2016";17,527
"05/08/2016";17,44
"05/09/2016";17,089
"05/10/2016";17,092
"05/11/2016";17,319
"05/12/2016";17,103
"05/13/2016";17,132
"05/15/2016";17,33
"05/16/2016";17,154
"05/17/2016";17,25
"05/18/2016";17,132
"05/19/2016";16,493
"05/20/2016";16,532
"05/22/2016";16,54
"05/23/2016";16,423
"05/24/2016";16,254
"05/25/2016";16,261
"05/26/2016";16,343
"05/27/2016";16,269
"05/31/2016";15,994
"06/01/2016";15,927
"06/02/2016";16,025
"06/03/2016";16,365
"06/04/2016";16,44
"06/06/2016";16,447
"06/07/2016";16,394
"06/08/2016";16,985
"06/09/2016";17,268
"06/10/2016";17,33
"06/13/2016";17,443
"06/14/2016";17,424
"06/15/2016";17,503
"06/16/2016";17,607
"06/17/2016";17,411
"06/20/2016";17,514
"06/21/2016";17,374
"06/22/2016";17,367
"06/23/2016";17,41
"06/24/2016";17,839
"06/27/2016";17,786
"06/28/2016";17,889
"06/29/2016";18,407
"06/30/2016";18,623
"07/01/2016";19,588
"07/04/2016";20,41
"07/05/2016";19,907
"07/06/2016";20,203
"07/07/2016";19,838
"07/08/2016";20,099
"07/11/2016";20,304
"07/12/2016";20,171
"07/13/2016";20,413
"07/14/2016";20,322
"07/15/2016";20,165
"07/18/2016";20,075
"07/19/2016";20,007
"07/20/2016";19,613
"07/21/2016";19,815
"07/22/2016";19,689
"07/25/2016";19,647
"07/26/2016";19,683
"07/27/2016";19,995
"07/28/2016";20,192
"07/29/2016";20,347
"08/01/2016";20,5
"08/02/2016";20,701
"08/03/2016";20,471
"08/04/2016";20,443
"08/05/2016";19,817
"08/08/2016";19,805
"08/09/2016";19,85
"08/10/2016";20,17
"08/11/2016";20,02
"08/12/2016";19,703
"08/15/2016";19,847
"08/16/2016";19,874
"08/17/2016";19,648
"08/18/2016";19,74
"08/19/2016";19,449
"08/22/2016";18,998
"08/23/2016";19,065
"08/24/2016";18,688
"08/25/2016";18,615
"08/26/2016";18,745
"08/29/2016";18,859
"08/30/2016";18,673
"08/31/2016";18,707
"09/01/2016";18,943
"09/02/2016";19,366
"09/05/2016";19,615
"09/06/2016";20,138
"09/07/2016";19,848
"09/08/2016";19,678
"09/09/2016";19,368
"09/12/2016";19
"09/13/2016";18,975
"09/14/2016";19,066
"09/15/2016";19,041
"09/16/2016";18,862
"09/19/2016";19,29
"09/20/2016";19,277
"09/21/2016";19,768
"09/22/2016";20,099
"09/23/2016";19,81
"09/26/2016";19,596
"09/27/2016";19,165
"09/28/2016";19,121
"09/29/2016";19,188
"09/30/2016";19,214
"10/03/2016";18,868
"10/04/2016";17,775
"10/05/2016";17,695
"10/06/2016";17,345
"10/07/2016";17,38
"10/10/2016";17,659
"10/11/2016";17,509
"10/12/2016";17,505
"10/13/2016";17,458
"10/14/2016";17,441
"10/17/2016";17,474
"10/18/2016";17,638
"10/19/2016";17,663
"10/20/2016";17,549
"10/21/2016";17,493
"10/24/2016";17,604
"10/25/2016";17,78
"10/26/2016";17,626
"10/27/2016";17,639
"10/28/2016";17,796
"10/31/2016";17,796
"11/01/2016";18,418
"11/02/2016";18,693
"11/03/2016";18,416
"11/04/2016";18,371
"11/07/2016";18,151
"11/08/2016";18,356
"11/09/2016";18,378
"11/10/2016";18,737
"11/11/2016";17,382
"11/14/2016";16,893
"11/15/2016";17,043
"11/16/2016";16,927
"11/17/2016";16,875
"11/18/2016";16,721
"11/21/2016";16,621
"11/22/2016";16,735
"11/23/2016";16,485
"11/24/2016";16,4
"11/25/2016";16,554
"11/28/2016";16,675
"11/29/2016";16,74
"11/30/2016";16,482
"12/01/2016";16,506
"12/02/2016";16,832
"12/05/2016";16,899
"12/06/2016";16,81
"12/07/2016";17,275
"12/08/2016";17,096
"12/09/2016";16,967
"12/12/2016";17,187
"12/13/2016";16,977
"12/14/2016";17,221
"12/15/2016";15,958
"12/16/2016";16,215
"12/19/2016";16,089
"12/20/2016";16,117
"12/21/2016";15,979
"12/22/2016";15,871
"12/23/2016";15,759
"12/26/2016";15,785
"12/27/2016";15,989
"12/28/2016";16,038
"12/29/2016";16,218
"12/30/2016";15,989
"01/03/2017";16,409
"01/04/2017";16,552
"01/05/2017";16,637
"01/06/2017";16,519
"01/09/2017";16,683
"01/10/2017";16,848
"01/11/2017";16,828
"01/12/2017";16,825
"01/13/2017";16,765
"01/16/2017";16,825
"01/17/2017";17,148
"01/18/2017";17,274
"01/19/2017";17,002
"01/20/2017";17,032
"01/23/2017";17,186
"01/24/2017";17,185
"01/25/2017";16,98
"01/26/2017";16,85
"01/27/2017";17,136
"01/30/2017";17,152
"01/31/2017";17,543
"02/01/2017";17,45
"02/02/2017";17,429
"02/03/2017";17,479
"02/06/2017";17,693
"02/07/2017";17,756
"02/08/2017";17,705
"02/09/2017";17,741
"02/10/2017";17,933
"02/13/2017";17,821
"02/14/2017";17,889
"02/15/2017";18,033
"02/16/2017";18,146
"02/17/2017";18,103
"02/20/2017";18,125
"02/21/2017";18,074
"02/22/2017";18,022
"02/23/2017";18,185
"02/24/2017";18,406
"02/27/2017";18,417
"02/28/2017";18,469
"03/01/2017";18,489
"03/02/2017";17,748
"03/03/2017";17,74
"03/06/2017";17,773
"03/07/2017";17,536
"03/08/2017";17,298
"03/09/2017";17,036
"03/10/2017";16,923
"03/13/2017";16,972
"03/14/2017";16,923
"03/15/2017";16,923
"03/16/2017";17,33
"03/17/2017";17,413
"03/20/2017";17,438
"03/21/2017";17,583
"03/22/2017";17,578
"03/23/2017";17,593
"03/24/2017";17,748
"03/27/2017";18,108
"03/28/2017";18,252
"03/29/2017";18,252
"03/30/2017";18,206
"03/31/2017";18,256
"04/03/2017";18,212
"04/04/2017";18,323
"04/05/2017";18,187
"04/06/2017";18,246
"04/07/2017";18,151
"04/10/2017";17,915
"04/11/2017";18,254
"04/12/2017";18,3
"04/13/2017";18,51
"04/17/2017";18,514
"04/18/2017";18,272
"04/19/2017";18,162
"04/20/2017";18,098
"04/21/2017";17,937
"04/24/2017";17,932
"04/25/2017";17,659
"04/26/2017";17,431
"04/27/2017";17,334
"04/28/2017";17,262
"05/01/2017";16,842
"05/02/2017";16,831
"05/03/2017";16,546
"05/04/2017";16,303
"05/05/2017";16,274
"05/08/2017";16,258
"05/09/2017";16,067
"05/10/2017";16,207
"05/11/2017";16,265
"05/12/2017";16,402
"05/15/2017";16,603
"05/16/2017";16,747
"05/17/2017";16,906
